From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,20800851.0,20800851.0,Hafar Al Batin to Abu hadriya Road,107.3,134,2915,90369
2023-03-01,2023-03-31,SAUDI,20906120.0,20906120.0,Al Ayun to Uqair Road # 612,105.1,130,1963,60860
2023-03-01,2023-03-31,SAUDI,20906150.0,20906150.0,Riyadh to Al Hasa Road,107.5,123,9897,306802
2023-03-01,2023-03-31,SAUDI,20906151.0,20906151.0,Al Hasa to Riyadh Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,20966140.0,20966140.0,Al Hasa to Salwa Road,92.9,122,3359,104133
2023-03-01,2023-03-31,SAUDI,21000500.0,21000500.0,Majjmah to Hafir Batin Road,116.3,127,1633,50554
2023-03-01,2023-03-31,SAUDI,21000501.0,21000501.0,Hafir Batin to Majjmah Road,114.7,130,2769,85826
2023-03-01,2023-03-31,SAUDI,21058160.0,21058160.0,As Sadawi to Al Rafeah Road,112.2,146,1332,41299
2023-03-01,2023-03-31,SAUDI,21062620.0,21062620.0,Rafha to Linah to Samuda Road,109.9,138,2579,79946
2023-03-01,2023-03-31,SAUDI,21100950.0,21100950.0,Shebah to Salwa Road,79,108,718,22261
2023-03-01,2023-03-31,SAUDI,21167080.0,21167080.0,Oman - Saudi Border Check Point,51.6,71,475,14727
2023-03-01,2023-03-31,SAUDI,21167081.0,21167081.0,Saudi to Oman Border, -, -, -, -
2023-03-01,2023-03-31,SAUDI,21200950.0,21200950.0,Khafji to kuwait Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,21200951.0,21200951.0,Al Khafji to Dammam Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,21263790.0,21263790.0,Hafar Al Batin to Khafji Road,114.3,141,678,21029
2023-03-01,2023-03-31,SAUDI,30100050.0,30100050.0,Laith to Qunfodah Road,98.2,115,5593,173385
2023-03-01,2023-03-31,SAUDI,30100051.0,30100051.0,Qunfodah to Laith Road,101.6,115,10346,320711
2023-03-01,2023-03-31,SAUDI,30100052.0,30100052.0,Qunfodah to Darb Road,98.8,113,9956,308646
2023-03-01,2023-03-31,SAUDI,30100053.0,30100053.0,Darb to Qunfodah Road,98.5,113,10181,315609
2023-03-01,2023-03-31,SAUDI,30200150.0,30200150.0,Taif to Al Baha Road,109.9,124,6648,206087
2023-03-01,2023-03-31,SAUDI,30200151.0,30200151.0,Al Baha to Taif,96.1,111,14674,454892
2023-03-01,2023-03-31,SAUDI,30202050.0,30202050.0,Bani Saad to Taif Road,82.7,97,731,22650
2023-03-01,2023-03-31,SAUDI,30300400.0,30300400.0,Taif to Riyadh Road, -, -, -, -
